polymer,size_class,shape,aging,n_scenarios,mean_particle_hazard,mean_interaction_risk,mean_lymphatic_burden,mean_macrophage_activation,mean_ROS,mean_cytokine,mean_final_risk,max_final_risk
PE,nano-scale,sphere,oxidized,432,0.7212034705731284,0.6335551907235989,0.34965369372648286,0.42831310890421964,0.4781555461425554,0.44865623565714186,0.48606203064682973,0.8276140173833696
PE,submicron-to-small,fragment,UV-aged,216,0.6893854864419141,0.6289472444253159,0.34946937613835455,0.43043452741568394,0.47154718719870764,0.4467731131800083,0.4859243281626774,0.8319164180613572
PP,submicron-to-small,fragment,UV-aged,216,0.6871604864419141,0.6273985104161219,0.34237059340333503,0.42704337302854917,0.46834018844141895,0.4434263670990538,0.4825097826921491,0.8274919363242321
PP,nano-scale,sphere,oxidized,432,0.7189784705731284,0.6320256624451521,0.34178634839299127,0.42465572307273947,0.4747125611788918,0.44502035254135885,0.4824153010386705,0.8225057502608546
PS,submicron-to-small,sphere,oxidized,216,0.7287595525913801,0.6374265883062207,0.3287700874185379,0.43126155303266295,0.4760230506583118,0.443806436498157,0.48227032554038046,0.8239526607804757
PVC,submicron-to-small,fragment,UV-aged,216,0.7026853549268632,0.6363160082145436,0.3212363890221238,0.4322014323366847,0.4691852550175354,0.4403613158494823,0.4815580855494378,0.8212770421525514
PS,nano-scale,sphere,UV-aged,432,0.7080733060775347,0.6369545165360185,0.32702508376833045,0.4294440266802172,0.4710763322003416,0.44175779114688724,0.48151410322741584,0.8191433603547369
PS,small microplastic,fragment,oxidized,216,0.7339664868157522,0.639470831870321,0.3137544243664078,0.43719497667091617,0.47537933323405224,0.44170353194821316,0.48119798697419036,0.8261097036118555
PE,small microplastic,fiber,oxidized,216,0.7178314972061868,0.6324222572459129,0.32199248241614603,0.4320052055143204,0.47184019395900584,0.44170258097320386,0.48092093285956217,0.8293411950877749
PVC,nano-scale,sphere,oxidized,432,0.7349302267935707,0.6408533752826,0.3157525781692051,0.42816845487540006,0.4740034949520357,0.44016506478340933,0.4797444463233447,0.8126485753309638
PVC,small microplastic,fiber,oxidized,216,0.730899130013051,0.6397602742290552,0.3013300778945921,0.4361097114658846,0.4716506691418332,0.4378371065948222,0.47891343312449447,0.8207215082149965
PS,small microplastic,fiber,UV-aged,216,0.7005391404695409,0.6346407619170306,0.3064135399256205,0.4344441124054845,0.46565818520539703,0.43662639967597155,0.4779221523280531,0.8212316150061044
PP,small microplastic,fiber,oxidized,216,0.7156064972061865,0.6308652210986827,0.31600777157159393,0.4289911169131847,0.46897990036664894,0.43875397273645483,0.4778541141828898,0.8243448053344775
PE,nano-scale,fiber,pristine,432,0.5910168044624853,0.6113403198054677,0.34965591452001904,0.41577838270043227,0.4457279586494567,0.4354734180868902,0.47715761289865843,0.8195329323590175
PET,submicron-to-small,fragment,UV-aged,216,0.6837353549268633,0.6309489399626864,0.3107377011202051,0.4244515584846635,0.4601200018471111,0.4334645405314105,0.4747403834335486,0.8101373305762832
PP,nano-scale,fiber,pristine,432,0.5887918044624854,0.6098013171677501,0.34200794792647854,0.4122377006592232,0.44235404432693565,0.4319007097471627,0.4735697399446248,0.8139173185576339
PE,nano-scale,sphere,UV-aged,432,0.6746831517134128,0.6184594024366861,0.339146093191881,0.4115228328754952,0.4598352383421363,0.43656092688378706,0.4730658870091869,0.8119731818407471
PET,nano-scale,sphere,oxidized,432,0.7159802267935709,0.635566215778108,0.30425442775719413,0.4200800965387614,0.4646360646254138,0.43295110435265804,0.47266477408147173,0.8000163304558358
PET,small microplastic,fiber,oxidized,216,0.711949130013051,0.6343536050983501,0.29224421231259573,0.4288097844210632,0.4630085433001105,0.4314278148198233,0.4725127369988939,0.8092804667112166
PE,submicron-to-small,sphere,oxidized,216,0.6959459143639143,0.6188312044686463,0.3371767461731356,0.4121296203673744,0.46370538381144233,0.4372787062781682,0.472479758459364,0.8144065417359476
PS,larger microplastic,fiber,oxidized,216,0.7275120489075714,0.6357715336388698,0.2867970609422538,0.4300960241087512,0.4655085813330487,0.43172502864182705,0.4718969064513222,0.8108741527388554
PVC,nano-scale,fiber,pristine,432,0.6047059187103048,0.618779887208585,0.3171073463569096,0.416262205158063,0.4421027299828985,0.42747916813243936,0.4714343419806023,0.804486493994315
PE,small microplastic,fragment,oxidized,216,0.7015276631413597,0.6207712260482054,0.31691744919932613,0.4164790537693016,0.4615597440223616,0.43338085174033225,0.4696512972681974,0.8151977413999926
PP,nano-scale,sphere,UV-aged,432,0.6724581517134127,0.6169275752613139,0.3311518700069,0.4078824327741742,0.45634621911093276,0.4328883053131611,0.4693821519081141,0.8069000674062495
PP,submicron-to-small,sphere,oxidized,216,0.6937209143639143,0.617285502577951,0.32986952575163525,0.4087040971313912,0.46043987705358347,0.4338563978952899,0.46900671641165603,0.8096013087094283
PS,nano-scale,fragment,pristine,432,0.6039396823934589,0.6154055342178544,0.32067247320444114,0.4126950249999953,0.44133171502633894,0.4269771513984845,0.468769954630391,0.8030919724945995
PS,submicron-to-small,sphere,UV-aged,216,0.6806598266940077,0.621668808515773,0.31692001861847163,0.41370145207465264,0.4567482662906907,0.43096723125556363,0.46840018327303645,0.8063658090207122
PVC,submicron-to-small,sphere,oxidized,216,0.7092859437113745,0.6261806233633876,0.3075948562764051,0.41353749785880317,0.4608555530240237,0.4303857887364505,0.46765304693365944,0.8013968829183398
PVC,small microplastic,fragment,oxidized,216,0.7146144951750493,0.628131446598953,0.2948230750977541,0.4202164770546376,0.4609125833885121,0.4290562649810503,0.467213468901466,0.8041941245847312
PS,submicron-to-small,fiber,pristine,216,0.5918204262180302,0.6105248520853844,0.31771134474103735,0.4126218384257199,0.4373972943632876,0.42477993398558805,0.46667907345863824,0.8048202017474252
PVC,nano-scale,sphere,UV-aged,432,0.6884098540165415,0.6257965823392424,0.3047479596587783,0.41135850101194577,0.455519828098394,0.4279502386432363,0.4666354435360635,0.7938546226601814
PP,small microplastic,fragment,oxidized,216,0.6993026631413597,0.6192132866269325,0.31067643988040977,0.4134166559772322,0.45861556666978304,0.4303487177386416,0.4665065547276288,0.8101129350950385
PS,small microplastic,fragment,UV-aged,216,0.6842600231677032,0.6230112916857536,0.3005731264756907,0.4187813049946346,0.4551407112077002,0.4280805614422707,0.4664352730706214,0.8062407764519413
PE,small microplastic,fiber,UV-aged,216,0.6681359749369338,0.6159936893192826,0.30883153460495616,0.41362741064131386,0.4516866512627444,0.428142435712154,0.4662098027617017,0.8098985631457334
PET,nano-scale,fiber,pristine,432,0.5857559187103049,0.6134543576134717,0.3058904098887585,0.40837279717999203,0.4328305286582459,0.4203373067212894,0.4644379673007468,0.7895139679368721
PVC,small microplastic,fiber,UV-aged,216,0.6811986452755002,0.6233203335614939,0.28807071419143776,0.4177227745996071,0.451388551543971,0.4241943930140766,0.4641505833092741,0.7989230807745819
