polymer,size_class,shape,aging,n_scenarios,mean_particle_hazard,mean_interaction_risk,mean_lymphatic_burden,mean_macrophage_activation,mean_ROS,mean_cytokine,mean_final_risk,max_final_risk
PET,nano-scale,sphere,pristine,432,0.5212184705731284,0.5714177928334218,0.2586008316690944,0.3504569126750211,0.38740739320162604,0.38198259354283565,0.4175315990924917,0.7061051489905372
PE,submicron-to-small,sphere,pristine,216,0.4999258147544634,0.5532027480366082,0.2893131240107441,0.34077583249470933,0.3850878219228819,0.3848420588736608,0.41540597408618246,0.7287974082760825
PET,small microplastic,fiber,pristine,216,0.5145364972061867,0.5679554313379229,0.24113649060752312,0.35645653911140757,0.38294144003827185,0.37776015852909944,0.414026780067657,0.708031268794731
PS,larger microplastic,fiber,pristine,216,0.5284738995227317,0.5694535399954672,0.23656309759017363,0.35776573376387577,0.385360258099723,0.378303441582564,0.4138450374822341,0.7101723825475359
PP,submicron-to-small,sphere,pristine,216,0.4977008147544634,0.5516501040231169,0.28180065077503713,0.3375870146728759,0.3817940534433972,0.3814228832873437,0.41191873511488203,0.7202143795567695
PE,larger microplastic,sphere,UV-aged,216,0.587965342211473,0.5640026222530022,0.2572689976583282,0.3453126086346969,0.3978891350319182,0.3834220461378833,0.41113101911094774,0.7196977197920412
PE,small microplastic,fragment,pristine,216,0.5041199928027931,0.5542858321773656,0.2656686500638819,0.34397267064967424,0.3814557717067348,0.3796173399148515,0.41100281611050943,0.7201006021132952
PVC,submicron-to-small,sphere,pristine,216,0.5132559143639142,0.560646799634902,0.25932937415596696,0.3426798575749032,0.38222105876103607,0.37803507106208944,0.4106612450102451,0.7042832026336134
PVC,larger microplastic,sphere,UV-aged,216,0.6009967651603398,0.5712750092488498,0.2369765234988783,0.3498318071809441,0.3978158266245196,0.37988091425571313,0.4092584508428126,0.7035284033170447
PVC,small microplastic,fragment,pristine,216,0.5171826631413595,0.5616030583050015,0.24374464554615827,0.3480409207396935,0.38088057028074196,0.3754320173815867,0.4086634113787018,0.7025288002784573
PP,larger microplastic,sphere,UV-aged,216,0.585740342211473,0.562449298595887,0.2514353075712929,0.3425967247999662,0.395104037935505,0.380594156933275,0.4081621040622397,0.7122621260475643
PP,small microplastic,fragment,pristine,216,0.501894992802793,0.5527303785549366,0.2595583434216305,0.34118825569838157,0.3785837605720103,0.3766762955900325,0.40794959379825996,0.7124639278435725
PET,submicron-to-small,sphere,pristine,216,0.4943059143639142,0.5552632219036774,0.24870793448360456,0.33551880248886917,0.3732925837144315,0.3712925257845641,0.4039405001585202,0.6896087820630848
PET,larger microplastic,sphere,UV-aged,216,0.5820467651603399,0.5658816037337173,0.2284297338669542,0.3432272714469717,0.3894994990533291,0.3738497185237481,0.40316330547922935,0.6903833592334875
PS,larger microplastic,fragment,pristine,216,0.5124117808247612,0.5575352053742497,0.23298183376662326,0.34349929823753,0.3757204459451219,0.3707039744607176,0.4029592614618026,0.6938635182983262
PET,small microplastic,fragment,pristine,216,0.4982326631413596,0.5562018403336481,0.23482404591170114,0.3413676180500871,0.37245671418176474,0.3692612655681407,0.4024589635840336,0.6892025956187589
PE,larger microplastic,fiber,pristine,216,0.49616913811900537,0.55118193113981,0.2384132582867193,0.33777859041927377,0.37160488764164357,0.36997556769523804,0.40244705594703695,0.6983446820135933
PVC,larger microplastic,fiber,pristine,216,0.5091650643115947,0.5582994838041465,0.2207601519895373,0.3428850311688902,0.3721818844791318,0.3670741976107749,0.40123234093459126,0.6842397767152326
PP,larger microplastic,fiber,pristine,216,0.49394413811900534,0.5496402827297877,0.23321399683445979,0.33528136910697665,0.36901277277459804,0.3673499859827509,0.399691354477133,0.6914765499430963
PS,small microplastic,sphere,pristine,216,0.49645249076422154,0.5480948260783506,0.2448179148635536,0.3326242387261222,0.3709336433921319,0.3685958919324961,0.3981515132970395,0.6902693791610492
PET,larger microplastic,fiber,pristine,216,0.49021506431159473,0.552950982946751,0.2133793689590241,0.33667395780267695,0.3642084340044448,0.3613688988863218,0.3955276749363988,0.6719869640281481
PE,larger microplastic,fragment,pristine,216,0.48008764232774165,0.539154904456234,0.23534226006008974,0.32367744708042706,0.36208338065666856,0.36247601676355984,0.3916386272718239,0.6825452557395804
PVC,larger microplastic,fragment,pristine,216,0.4930967190218392,0.546331102802557,0.21673839620660112,0.3286085006784034,0.36242887789224093,0.35933871244363197,0.39019410213162486,0.6676127675022332
PP,larger microplastic,fragment,pristine,216,0.4778626423277416,0.5376087970857671,0.2299159900854591,0.32115828039217653,0.3594381114886969,0.35979687805713606,0.3888206047033513,0.6755337926805748
PE,small microplastic,sphere,pristine,216,0.4640347781087437,0.5294326067396884,0.2493083216136073,0.3131976864863153,0.3577841193491811,0.3608928278564691,0.38723513350243305,0.6808777660823476
PVC,small microplastic,sphere,pristine,216,0.47710730701359944,0.5367689236191141,0.22621091411026817,0.3171501133088986,0.3569585267416007,0.35649958537037124,0.384609283778045,0.6624521101313354
PET,larger microplastic,fragment,pristine,216,0.4741467190218393,0.540965195789621,0.20921621150869457,0.32240679465324124,0.35441884395415924,0.35357998681307135,0.3844365916016827,0.6552111942019243
PP,small microplastic,sphere,pristine,216,0.46180977810874363,0.5278760365289574,0.24301786383357468,0.31047091200782606,0.3548939512180844,0.35793995395994815,0.384152004335775,0.6731977880829542
PS,larger microplastic,sphere,pristine,216,0.4726245020142784,0.5327278377817174,0.21884818424247413,0.3137532626073335,0.3529072704833317,0.35293713360997975,0.3799447407677782,0.6567018808945349
PET,small microplastic,sphere,pristine,216,0.45815730701359947,0.53136380062984,0.21718525501997996,0.3106427335977785,0.3485597729750256,0.35036364974061723,0.37841339165580395,0.649212833768232
PE,larger microplastic,sphere,pristine,216,0.44030036351725893,0.5142926738839871,0.22190115205351818,0.29427852689872747,0.3394816752579517,0.34488505429379895,0.36881964958557206,0.6461782025083205
PVC,larger microplastic,sphere,pristine,216,0.45330944021135655,0.521497827505728,0.2032143931978345,0.2992187621008866,0.33978885343439696,0.34165146281131387,0.36733362440277767,0.6305664803740066
PP,larger microplastic,sphere,pristine,216,0.43807536351725884,0.5127440196181763,0.21658997567488858,0.29183498365133537,0.33686882236008864,0.342216548268687,0.3660295484410103,0.6391302678069969
PET,larger microplastic,sphere,pristine,216,0.4343594402113566,0.5161221135058649,0.195702890552224,0.2931635863310203,0.33181512035280747,0.33591682430669795,0.3615955784602975,0.6182347799377605
