risk_rank,simulation_id,exposure_scenario_id,particle_id,polymer,size_um,size_class,shape,aging,charge,dose_level,daily_dose_unit,duration_days,gut_status,diet_state,particle_hazard_potential,interaction_risk_proxy,lymphatic_burden_index,macrophage_activation_score,ROS_score,cytokine_activation_score,systemic_inflammatory_spillover_score,immune_dysregulation_score,lymphatic_microplastic_immune_risk_index,final_risk_class,dominant_mechanistic_driver
31,SIM048084,EXP0072,MP0159,PE,0.05,nano-scale,fiber,UV-aged,positive,high,10.0,365,barrier-impaired,high-fat,0.7700112070747386,0.7859028664981426,0.99926421864929,0.8938678600106202,0.8810359397665595,0.8985645887350588,0.9074647171004799,0.9175462423393752,0.8563330924927407,severe,lymphatic burden dominated
32,SIM048347,EXP0072,MP0422,PS,0.05,nano-scale,fragment,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.8038105980424504,0.7930422687329176,0.9877612204692328,0.898569640726091,0.8882563414289653,0.9010337745801473,0.9088569907662349,0.9196358041430095,0.8562260004526833,severe,lymphatic burden dominated
33,SIM048374,EXP0072,MP0449,PS,0.1,nano-scale,fragment,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.8020623553643602,0.7923747654694995,0.9882669357663192,0.8982074040732696,0.8877732323822989,0.9009102471432825,0.9086638455022504,0.9194676601198055,0.8560115001165784,severe,lymphatic burden dominated
34,SIM048111,EXP0072,MP0186,PE,0.1,nano-scale,fiber,UV-aged,positive,high,10.0,365,barrier-impaired,high-fat,0.7679349283681511,0.7850269058523591,0.999347640177478,0.8933679275889196,0.8803510056311926,0.8981448937246453,0.9071593345372515,0.9171582426402404,0.8558731433331278,severe,lymphatic burden dominated
35,SIM048489,EXP0072,MP0564,PVC,0.05,nano-scale,fiber,UV-aged,positive,high,10.0,365,barrier-impaired,high-fat,0.7837329838879331,0.7928178143623958,0.9786859011207404,0.9010155401514419,0.8833286349651883,0.8967713813314829,0.904332364270316,0.9159246884403605,0.8553549771285816,severe,lymphatic burden dominated
36,SIM048408,EXP0072,MP0483,PS,1.0,submicron-to-small,fiber,UV-aged,positive,high,10.0,365,barrier-impaired,high-fat,0.7692394924031027,0.7864061870108175,0.9912615187961676,0.8988722811960418,0.8806357913817511,0.898501531757158,0.9057112611179466,0.9172764214334301,0.8553405349029487,severe,lymphatic burden dominated
37,SIM048516,EXP0072,MP0591,PVC,0.1,nano-scale,fiber,UV-aged,positive,high,10.0,365,barrier-impaired,high-fat,0.7815929220624803,0.7919492876057898,0.9792034595398724,0.9005508398638818,0.8827078063351165,0.8965643441963904,0.9040290752034986,0.9156715395395172,0.8550234070312683,severe,lymphatic burden dominated
38,SIM048546,EXP0072,MP0621,PVC,1.0,submicron-to-small,fiber,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.7978878166606986,0.7908170891447229,0.9819962971898508,0.9002117458931232,0.88587695004825,0.898176511511099,0.9041618442028211,0.9173240019685461,0.8549711610507993,severe,lymphatic burden dominated
39,SIM048219,EXP0072,MP0294,PP,0.05,nano-scale,fiber,UV-aged,positive,high,10.0,365,barrier-impaired,high-fat,0.7677862070747385,0.7843343854286285,0.9972831327874988,0.8930567565519595,0.8798121585077359,0.8978318000227357,0.9069169935460475,0.9166330584485795,0.8548876940064554,severe,lymphatic burden dominated
40,SIM048141,EXP0072,MP0216,PE,1.0,submicron-to-small,fiber,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.7846240380924281,0.7837957028663974,0.998220988963486,0.8926759682439622,0.882889880571533,0.8981350839298423,0.9061365286186962,0.9174943467818919,0.8546478057663007,severe,lymphatic burden dominated
41,SIM047681,EXP0071,MP0431,PS,0.05,nano-scale,fiber,oxidized,negative,high,10.0,365,barrier-impaired,normal,0.8244045716367447,0.7912536978481876,0.9771246511038169,0.9078103661211492,0.889654328388406,0.897321363595451,0.8784457872984625,0.9157047949511018,0.8545670637047703,severe,lymphatic burden dominated
42,SIM048246,EXP0072,MP0321,PP,0.1,nano-scale,fiber,UV-aged,positive,high,10.0,365,barrier-impaired,high-fat,0.7657099283681513,0.7834564114435483,0.9973852890248516,0.8925582618733302,0.8791301590939316,0.8974131339169513,0.906611299008404,0.9162484902668139,0.8544300009784607,severe,lymphatic burden dominated
43,SIM047708,EXP0071,MP0458,PS,0.1,nano-scale,fiber,oxidized,negative,high,10.0,365,barrier-impaired,normal,0.8222455001793612,0.7904153837355458,0.977344206007016,0.9073194862300106,0.8889817591128063,0.8969116871579924,0.8781229833364766,0.9153357311153922,0.8541713621175723,severe,lymphatic burden dominated
44,SIM048402,EXP0072,MP0477,PS,1.0,submicron-to-small,fragment,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.7998017962974382,0.789037086882601,0.9875050330169874,0.8973890914581472,0.8862657310110432,0.8993331295764164,0.9069291266234529,0.9183024254983997,0.8536540203804489,severe,lymphatic burden dominated
45,SIM048276,EXP0072,MP0351,PP,1.0,submicron-to-small,fiber,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.7823990380924283,0.7822058486397486,0.9964769090294237,0.8918839397892749,0.8817041157011695,0.8974162295126953,0.9055860955490524,0.9166252563925201,0.8532341592478909,severe,lymphatic burden dominated
46,SIM047951,EXP0072,MP0026,PET,0.05,nano-scale,fiber,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.7857936060554244,0.791463934116535,0.973215841335393,0.8983632431428206,0.8820034572673873,0.8942516074338146,0.9009307447650005,0.9132779612336798,0.8531903576182553,severe,lymphatic burden dominated
