polymer,size_class,shape,aging,n_scenarios,mean_particle_hazard,mean_mucus_retention,mean_P_Mcell,mean_gut_to_lymph,mean_MLN_retention,mean_interaction_risk
PS,submicron-to-small,sphere,UV-aged,216,0.6806598266940077,0.5439806848155373,0.6977087620783888,0.6008970989199575,0.5696024630093206,0.621668808515773
PET,submicron-to-small,sphere,oxidized,216,0.6903359437113745,0.5141221998880918,0.6989240255711424,0.5995649809822944,0.5632028276280218,0.620826316358965
PE,small microplastic,fragment,oxidized,216,0.7015276631413597,0.7461378606143955,0.4821337034743079,0.5859410164985048,0.5841156382828848,0.6207712260482054
PET,nano-scale,sphere,UV-aged,432,0.6694598540165415,0.4395573469059925,0.7859024011591308,0.6015355230622711,0.5677939902520147,0.6205002163907994
PP,small microplastic,fragment,oxidized,216,0.6993026631413597,0.7334530780056999,0.4811477149503804,0.5823582634195874,0.5830408123592096,0.6192132866269325
PET,larger microplastic,fiber,oxidized,216,0.6892396409514085,0.7794092471472259,0.3480164520320066,0.5479201183723804,0.6202093688450475,0.6191503126962326
PS,larger microplastic,fiber,UV-aged,216,0.6761623005616967,0.8086055964166898,0.345209519345024,0.5478923084201784,0.6262010258593869,0.6189687441553966
PE,submicron-to-small,sphere,oxidized,216,0.6959459143639143,0.5865273005308601,0.690458535372851,0.6145063540513606,0.5476852395487416,0.6188312044686463
PVC,nano-scale,fiber,pristine,432,0.6047059187103048,0.5027604084266754,0.7489041011962885,0.5766766453775549,0.6328363269465997,0.618779887208585
PE,nano-scale,sphere,UV-aged,432,0.6746831517134128,0.5133945696067915,0.7771375948440187,0.6166735257078971,0.5523353910457026,0.6184594024366861
PET,small microplastic,fiber,UV-aged,216,0.6622486452755004,0.7142329348357745,0.43630345870878606,0.5514109579131241,0.6252566207072705,0.61791614301549
PE,larger microplastic,fiber,oxidized,216,0.6951650643115947,0.8506460044283398,0.34108750272787663,0.5630887850373643,0.6047599688445428,0.6173053464925211
PP,submicron-to-small,sphere,oxidized,216,0.6937209143639143,0.5738425179221646,0.6896126765933138,0.6109656398957604,0.5466230253020614,0.6172855025779511
PP,nano-scale,sphere,UV-aged,432,0.6724581517134127,0.5007097869980959,0.7764506129146241,0.6131804746073398,0.5512874757155353,0.6169275752613139
PE,small microplastic,fiber,UV-aged,216,0.6681359749369338,0.7856107798900468,0.4285092828672138,0.5663482741715069,0.6097378155847855,0.6159936893192826
PP,larger microplastic,fiber,oxidized,216,0.6929400643115947,0.8379612218196442,0.3401990564498662,0.5595352946322221,0.603693921723,0.6157559254355841
PS,nano-scale,fragment,pristine,432,0.6039396823934589,0.49131973778053345,0.7635993731580082,0.5825470928368425,0.6090974611843861,0.6154055342178544
PS,small microplastic,sphere,oxidized,216,0.6939047528630486,0.6534387360413122,0.5272555998082693,0.5812377604840765,0.5597046614785564,0.6146754667749795
PP,small microplastic,fiber,UV-aged,216,0.6659109749369337,0.772925997281351,0.4275420573087808,0.5627711499822378,0.6086646783280046,0.6144373884677863
PET,nano-scale,fiber,pristine,432,0.5857559187103049,0.48707562581797964,0.7459147326902179,0.5696428783039946,0.6307261968245318,0.6134543576134717
PVC,larger microplastic,fragment,oxidized,216,0.6921335325578993,0.7389499867689184,0.3875543174020924,0.5546896259077447,0.5867402211056567,0.6128392501496828
PVC,small microplastic,fragment,UV-aged,216,0.6649102716035995,0.6746339162292884,0.47677193060275525,0.5586316957600176,0.5919228420613386,0.6116745994340681
PE,nano-scale,fiber,pristine,432,0.5910168044624853,0.560773633499115,0.7362896775366871,0.5844949632941624,0.615181822321582,0.6113403198054677
PS,submicron-to-small,fiber,pristine,216,0.5918204262180302,0.6105192050969359,0.6137696318442805,0.5596230639060047,0.6297202525051347,0.6105248520853844
PVC,submicron-to-small,sphere,UV-aged,216,0.6611871635652803,0.5147691311860257,0.6875504065124386,0.58825728152427,0.5558105177906144,0.6103993797989516
PP,nano-scale,fiber,pristine,432,0.5887918044624854,0.5480888508904194,0.735520530688647,0.5809772627180113,0.6141265121487367,0.6098013171677501
PVC,larger microplastic,fiber,UV-aged,216,0.6568425312580954,0.7788277693607847,0.3354997121866738,0.5352738008614923,0.6124154735917811,0.6077462224660154
PET,larger microplastic,fragment,oxidized,216,0.6731835325578993,0.7232652041602228,0.383808246112183,0.5474288479990328,0.5845619877330432,0.6074476377004567
PS,larger microplastic,fragment,UV-aged,216,0.6601096991737231,0.7524485645202956,0.3809070744088767,0.5473701685600555,0.59054438390135,0.6072580166948276
PET,small microplastic,fragment,UV-aged,216,0.6459602716035994,0.6589491336205927,0.47283259723670007,0.5513129392284619,0.589727215101872,0.6062661094077322
PE,larger microplastic,fragment,oxidized,216,0.6790967190218393,0.7945472832792855,0.3764985320213576,0.5624923495955977,0.5690810382120127,0.6055688002116169
PET,submicron-to-small,sphere,UV-aged,216,0.6422371635652803,0.49908434857733003,0.6841423515573022,0.58109790851599,0.5536627058881304,0.6050372863162414
PE,small microplastic,fragment,UV-aged,216,0.6518281443565175,0.730399041298996,0.46478486109868056,0.5661885999227367,0.5741899133101543,0.6043205279153903
PVC,nano-scale,fragment,pristine,432,0.5842842935845295,0.4627849459295475,0.7538733873153786,0.5701723387138563,0.5953850349474903,0.6041646197830759
PP,larger microplastic,fragment,oxidized,216,0.6768717190218394,0.7818625006705899,0.3755709618175394,0.5589271220127132,0.5680114699371474,0.6040159624622392
PVC,small microplastic,sphere,oxidized,216,0.6745483659605251,0.6237965297221552,0.516215415077826,0.5682472638011121,0.5458075124736671,0.6033349106329635
PE,submicron-to-small,sphere,UV-aged,216,0.6478490864461142,0.571482218744934,0.6754690914132142,0.5959755045062843,0.5381259846852187,0.603024128644847
PP,small microplastic,fragment,UV-aged,216,0.6496031443565174,0.7177142586903004,0.4638024887352383,0.5626069316919649,0.5731154128409228,0.6027629042934125
PET,larger microplastic,fiber,UV-aged,216,0.6378925312580954,0.7631429867520891,0.3319810855339417,0.5280812563439337,0.6102577102365134,0.6023744727569541
PP,submicron-to-small,sphere,UV-aged,216,0.6456240864461142,0.5587974361362383,0.6746018044706911,0.5924283619017883,0.5370618419038699,0.6014765554326781
PE,larger microplastic,fiber,UV-aged,216,0.6438235201436845,0.8343591309761555,0.32524585043016957,0.5433039146576154,0.594824507730618,0.6005467051887192
PS,larger microplastic,sphere,oxidized,216,0.6716744668002128,0.7011049807184818,0.42121392666753416,0.5575185074772899,0.5445888855765203,0.5994476929573089
PVC,submicron-to-small,fiber,pristine,216,0.5723933734665331,0.5811387241443484,0.6027307584546159,0.5466853056985878,0.6158389250429097,0.5991808352942514
PP,larger microplastic,fiber,UV-aged,216,0.6415985201436846,0.8216743483674599,0.3243780953449816,0.5397566316103197,0.5937603228164293,0.5989990910936515
PET,nano-scale,fragment,pristine,432,0.5653342935845295,0.44710016332085184,0.7509229600327996,0.5631502540073435,0.5932784095355365,0.59884249092501
PS,small microplastic,sphere,UV-aged,216,0.6441965478456899,0.6377320879574562,0.5098206006404733,0.5614659311169665,0.5497731126684234,0.5982168051104814
PET,small microplastic,sphere,oxidized,216,0.6555983659605253,0.6081117471134596,0.5122697159069521,0.5609265975281109,0.5436113125917666,0.5979258646808928
PS,submicron-to-small,fragment,pristine,216,0.5742341915331137,0.5600422965225522,0.6393718840978877,0.5572083578672101,0.5934958406934963,0.597854911345818
PE,nano-scale,fragment,pristine,432,0.5705738158794533,0.5208772949177524,0.7412991857851293,0.5780185480524226,0.5777388977490601,0.5967274841458255
PVC,larger microplastic,fragment,UV-aged,216,0.6407840439708226,0.7226925370914246,0.3707275262394469,0.5346150986234522,0.576717862920369,0.5959941747400436
PE,small microplastic,sphere,oxidized,216,0.6614523070135994,0.679613253680174,0.5040922251602842,0.5757736516174533,0.5280654288185693,0.5959682468777632
PP,nano-scale,fragment,pristine,432,0.5683488158794533,0.5081925123090567,0.7405393679934965,0.5745036461931936,0.5766844271912914,0.595189296214604
PP,small microplastic,sphere,oxidized,216,0.6592273070135994,0.6669284710714783,0.5031050254919965,0.5721905351952279,0.5269904938919018,0.5944102016872533
PET,submicron-to-small,fiber,pristine,216,0.5534433734665333,0.5654539415356529,0.5989413680345007,0.539411532050814,0.6136567929485777,0.5937854397853845
PE,submicron-to-small,fiber,pristine,216,0.5591497554647601,0.6375019631203195,0.5900115198068975,0.5541421818994665,0.5980759879031733,0.5917546532082996
PET,larger microplastic,fragment,UV-aged,216,0.6218340439708226,0.707007754482729,0.36704572314234635,0.527373601172583,0.5745454136851083,0.5906081748320955
PP,submicron-to-small,fiber,pristine,216,0.5569247554647601,0.6248171805116238,0.5890557490192843,0.5505684941414434,0.5970038815757663,0.590199352701939
PE,larger microplastic,fragment,UV-aged,216,0.6277526210219556,0.7782698684640396,0.35990326122003674,0.5424832853921523,0.559078318950979,0.5887442161989137
PVC,larger microplastic,sphere,oxidized,216,0.6523462537474166,0.6713584268077435,0.41065913417715794,0.5446527589480294,0.5307291610177421,0.5881509515077189
PS,nano-scale,sphere,pristine,432,0.5598318150116365,0.43973035771320895,0.7581168721938899,0.567134466534142,0.551473673293576,0.5880021153403776
PP,larger microplastic,fragment,UV-aged,216,0.6255276210219557,0.7655850858553441,0.3589928014109474,0.5389231909276864,0.5580102906116392,0.5871928727003077
