particle_id,polymer,size_um,size_class,shape,aging,charge,surface_score,effective_size_um,small_size_score,mucus_affinity_potential,intrinsic_translocation_potential,macrophage_recognition_potential,leachate_toxic_potential,particle_hazard_potential
MP0180,PE,0.1,nano-scale,fragment,oxidized,positive,0.8368000000000002,0.175625,0.9679006151501794,0.6686749077274732,0.8490701845450539,0.7968850922725269,0.7695799999999999,0.7942292915226372
MP0288,PP,0.05,nano-scale,fragment,oxidized,positive,0.8318000000000002,0.0878125,0.9929375024629716,0.6489193746305544,0.8478312507388917,0.7993906253694458,0.7840800000000001,0.7936942814162509
MP0315,PP,0.1,nano-scale,fragment,oxidized,positive,0.8318000000000002,0.175625,0.9679006151501794,0.6526749077274732,0.8403201845450539,0.7956350922725269,0.7840800000000001,0.7920042915226373
MP0485,PS,1.0,submicron-to-small,fiber,oxidized,negative,0.8241999999999999,2.2960000000000003,0.6354209461572052,0.7300268580764193,0.7606762838471616,0.7788631419235807,0.8452199999999999,0.7919949138656114
MP0161,PE,0.05,nano-scale,fiber,oxidized,negative,0.8088000000000001,0.11040000000000003,0.9863094147820622,0.7028135877826908,0.8625928244346186,0.8001464122173093,0.7536800000000001,0.7910218854977893
MP0018,PET,0.05,nano-scale,fragment,oxidized,positive,0.8168000000000002,0.0909375,0.992012341314956,0.5860581488027568,0.8263037023944868,0.8205018511972435,0.8275800000000001,0.7907068330387597
MP0045,PET,0.1,nano-scale,fragment,oxidized,positive,0.8168000000000002,0.181875,0.9661905848711807,0.5899314122693231,0.8185571754613543,0.8166285877306771,0.8275800000000001,0.788963864478805
MP0188,PE,0.1,nano-scale,fiber,oxidized,negative,0.8088000000000001,0.22080000000000005,0.9557398685713542,0.707399019714297,0.8534219605714062,0.7955609802857031,0.7536800000000001,0.7889584411285665
MP0296,PP,0.05,nano-scale,fiber,oxidized,negative,0.8038000000000001,0.11040000000000003,0.9863094147820622,0.6868135877826907,0.8538428244346187,0.7988964122173093,0.7681800000000001,0.7887968854977891
MP0323,PP,0.1,nano-scale,fiber,oxidized,negative,0.8038000000000001,0.22080000000000005,0.9557398685713542,0.691399019714297,0.8446719605714063,0.7943109802857031,0.7681800000000001,0.7867334411285665
MP0430,PS,0.05,nano-scale,fiber,oxidized,neutral,0.7918000000000001,0.11400000000000003,0.9852655014105244,0.6680701747884215,0.8535296504231573,0.7732398252115787,0.8331799999999999,0.7861414213452105
MP0026,PET,0.05,nano-scale,fiber,oxidized,negative,0.7888000000000001,0.11440000000000002,0.9851497193396211,0.6239875420990569,0.8322449158018864,0.8199724579009432,0.81168,0.7857936060554244
MP0414,PS,0.05,nano-scale,sphere,oxidized,positive,0.8388000000000002,0.073,0.99735923581866,0.5761561146272011,0.8279077707455981,0.769303885372799,0.8473799999999998,0.7850727484177596
MP0216,PE,1.0,submicron-to-small,fiber,oxidized,positive,0.8271999999999999,2.2079999999999997,0.644148712480417,0.7578176931279375,0.764544613744125,0.7834223068720625,0.75972,0.7846240380924281
MP0557,PVC,0.05,nano-scale,fragment,oxidized,negative,0.8088000000000002,0.0896875,0.9923820873629491,0.5934026868955576,0.8239146262088848,0.7785573131044424,0.85958,0.7841417908969991
MP0457,PS,0.1,nano-scale,fiber,oxidized,neutral,0.7918000000000001,0.22800000000000006,0.953843359613778,0.6727834960579334,0.8441030078841334,0.7685265039420668,0.8331799999999999,0.78402042677393
MP0564,PVC,0.05,nano-scale,fiber,UV-aged,positive,0.7658,0.11520000000000002,0.9849182798212305,0.6374222580268155,0.8379254839463691,0.8491877419731846,0.79598,0.7837329838879331
MP0053,PET,0.1,nano-scale,fiber,oxidized,negative,0.7888000000000001,0.22880000000000003,0.9536333231654315,0.6287150015251853,0.8227899969496295,0.8152449984748148,0.81168,0.7836662493136667
MP0441,PS,0.1,nano-scale,sphere,oxidized,positive,0.8388000000000002,0.146,0.9761318373946981,0.5793402243907954,0.8215395512184095,0.7661197756092047,0.8473799999999998,0.7836398990241422
MP0420,PS,0.05,nano-scale,fragment,UV-aged,positive,0.7908000000000001,0.091875,0.9917353096973175,0.6303997035454024,0.8482205929091953,0.8214602964545976,0.79538,0.7828031334045691
MP0584,PVC,0.1,nano-scale,fragment,oxidized,negative,0.8088000000000002,0.179375,0.9668735093297218,0.5972289736005417,0.8162620527989166,0.7747310263994583,0.85958,0.7824199618797563
MP0351,PP,1.0,submicron-to-small,fiber,oxidized,positive,0.8221999999999999,2.2079999999999997,0.644148712480417,0.7418176931279374,0.755794613744125,0.7821723068720625,0.7742200000000001,0.7823990380924283
MP0591,PVC,0.1,nano-scale,fiber,UV-aged,positive,0.7658,0.23040000000000005,0.9532136601848931,0.642177950972266,0.8284140980554678,0.8444320490277339,0.79598,0.7815929220624803
MP0447,PS,0.1,nano-scale,fragment,UV-aged,positive,0.7908000000000001,0.18375,0.9656793388644602,0.634308099170331,0.840403801659338,0.817551900829669,0.79538,0.781044355373351
