polymer,size_class,shape,aging,n_scenarios,mean_interaction_risk,mean_final_A_MLN,mean_final_A_macrophage,mean_final_A_systemic,mean_AUC_MLN,mean_lymphatic_burden_index
PVC,nano-scale,fragment,oxidized,432,0.668192089782059,0.7485079598948715,1.960609087235716,1.7890639358875933,119.10645487149174,0.34442112738907793
PP,submicron-to-small,fragment,UV-aged,216,0.6273985104161219,0.7572915229276114,1.7948777157982059,1.7974181595344645,120.44325402825355,0.34237059340333503
PP,nano-scale,fiber,pristine,432,0.6098013171677501,0.761260930432769,1.7109541021042043,1.7331456228930804,121.08710864789084,0.34200794792647854
PS,submicron-to-small,fragment,UV-aged,216,0.6475897421501811,0.7506351370805961,1.8856581478640568,1.7640557745236947,119.43096863568155,0.34183458766116387
PP,nano-scale,sphere,oxidized,432,0.6320256624451521,0.7477996848017402,1.7866364585869403,1.879874151767355,118.91432331367353,0.3417863483929913
PET,nano-scale,fiber,UV-aged,432,0.662515085006205,0.7473484254885074,1.9241111105262274,1.7162661375659947,118.93234366585448,0.34117341774556764
PE,nano-scale,sphere,UV-aged,432,0.6184594024366861,0.7457171929587715,1.7229307919537389,1.8649853357566404,118.57002133665219,0.33914609319188105
PS,nano-scale,fiber,pristine,432,0.6300267608550477,0.7495534621142286,1.787114518154183,1.6920186213793262,119.267680574509,0.33875197273219193
PS,nano-scale,sphere,oxidized,432,0.6519803302560763,0.7350071177555207,1.8623744401192373,1.827190650675188,116.91752833662403,0.3377993988625224
PET,submicron-to-small,fiber,oxidized,216,0.6595572308057825,0.7436730432179772,1.9166663902046295,1.699307163257338,118.32682019205525,0.337257345443567
PE,submicron-to-small,sphere,oxidized,216,0.6188312044686463,0.7444786936287057,1.7291707322994039,1.859956657023758,118.35870078056848,0.33717674617313564
PVC,submicron-to-small,fiber,UV-aged,216,0.6490846871831536,0.7420652231986373,1.8653760144023526,1.6881362641603237,118.05996097880761,0.3351646125679667
PVC,nano-scale,fragment,UV-aged,432,0.6531541915681904,0.7313888627527224,1.8510110473924715,1.7362712604322355,116.35516026211059,0.33351185230232927
PVC,submicron-to-small,fragment,oxidized,216,0.6521153632170597,0.7337057529751211,1.8629644773958944,1.736387206611994,116.7119034999905,0.33333643301110716
PET,nano-scale,fragment,oxidized,432,0.6629088808423274,0.7289980161656584,1.8896732612606897,1.7373282921566016,115.98023515900019,0.3332935484416537
PE,nano-scale,fragment,pristine,432,0.5967274841458255,0.7419802204939365,1.622898054769799,1.7463479176026635,117.97690852868062,0.3325131126559959
PP,nano-scale,sphere,UV-aged,432,0.6169275752613139,0.7307386744303299,1.6852054627179014,1.8255397207347206,116.17194047313777,0.3311518700069
PP,submicron-to-small,sphere,oxidized,216,0.617285502577951,0.7306420892785098,1.693884884642756,1.8233966631329679,116.1437095500491,0.3298695257516353
PS,submicron-to-small,sphere,oxidized,216,0.6374265883062207,0.7234215793599048,1.779563083233954,1.784261263589868,115.03995022340371,0.3287700874185379
PS,nano-scale,sphere,UV-aged,432,0.6369545165360185,0.7181810924919154,1.7576975976585643,1.7739569040664738,114.2135872759526,0.32702508376833045
PE,submicron-to-small,sphere,UV-aged,216,0.603024128644847,0.7255269786738515,1.6244425824123312,1.8008694966967458,115.31337037433913,0.3255475609665016
PET,submicron-to-small,fiber,UV-aged,216,0.6437066555421728,0.7239716639796717,1.8010721309629498,1.6419554543354873,115.16179240943686,0.32498628976023164
PE,submicron-to-small,fiber,pristine,216,0.5917546532082996,0.7358515330958537,1.5990026843340042,1.6572076214225848,116.98488004206628,0.32451055631697723
PP,nano-scale,fragment,pristine,432,0.595189296214604,0.7269541326872434,1.587098601707757,1.70901628746369,115.57210063808482,0.32443453239814096
PET,submicron-to-small,fragment,oxidized,216,0.6467557836981049,0.7153720569056397,1.797503061557112,1.6879911446091598,113.77543922036467,0.3228913298587557
PET,nano-scale,fragment,UV-aged,432,0.6478617963387795,0.71176366115748,1.7827072276785032,1.6847102323778371,113.21177662156389,0.3222523897779477
PE,small microplastic,fiber,oxidized,216,0.6324222572459129,0.7302211201414338,1.7726485774333287,1.6638530862491228,116.08363896994477,0.3219924824161461
PVC,submicron-to-small,fragment,UV-aged,216,0.6363160082145436,0.7144575440973299,1.7505704979233205,1.678826972519424,113.62019377649847,0.3212363890221238
PS,nano-scale,fragment,pristine,432,0.6154055342178544,0.714998162959454,1.6574990871871842,1.6644483679773245,113.71235031029826,0.32067247320444114
PS,small microplastic,fiber,oxidized,216,0.6510882455321999,0.7192913725766351,1.846578480267487,1.6224358257138802,114.39174541719038,0.3197095722899659
PP,submicron-to-small,sphere,UV-aged,216,0.6014765554326781,0.7116646013614996,1.5904295552008125,1.7645304523162937,113.09531285112297,0.3181034880043242
PS,submicron-to-small,fiber,pristine,216,0.6105248520853844,0.7174034793904218,1.6518055495657198,1.5990985750289128,114.08909874416788,0.31771134474103735
PP,submicron-to-small,fiber,pristine,216,0.590199352701939,0.7224854952332437,1.5670533945626852,1.6251451056885242,114.84662884009555,0.31746511436923713
PVC,nano-scale,fiber,pristine,432,0.618779887208585,0.7114382697727466,1.654038234590423,1.6049000871227823,113.14736147297315,0.3171073463569097
PS,submicron-to-small,sphere,UV-aged,216,0.621668808515773,0.7046494924851087,1.67215846044497,1.7263926283047493,112.02493900054644,0.31692001861847163
PE,small microplastic,fragment,oxidized,216,0.6207712260482054,0.7171367149791428,1.6976715656116608,1.6909819525685181,113.9803590154988,0.31691744919932624
PP,small microplastic,fiber,oxidized,216,0.6308652210986827,0.7187822973783886,1.741675794388983,1.6357974590455744,114.25399034533072,0.31600777157159393
PVC,nano-scale,sphere,oxidized,432,0.6408533752826,0.6970678306363028,1.722323482319823,1.7336975916156903,110.825673436604,0.31575257816920516
PS,small microplastic,fragment,oxidized,216,0.639470831870321,0.7052103112643409,1.7667946896990854,1.6440377595819502,112.12730537530476,0.3137544243664079
PE,submicron-to-small,fragment,pristine,216,0.5790902190859972,0.7112119579005097,1.504132724527479,1.657739003971953,113.02370840188108,0.31270020538883353
PET,submicron-to-small,fragment,UV-aged,216,0.6309489399626864,0.6960805328740626,1.687848197792339,1.6307826397739544,110.67808455051998,0.3107377011202051
PP,small microplastic,fragment,oxidized,216,0.6192132866269325,0.7053803947539927,1.6667507905049705,1.6613114101926731,112.10001855506864,0.31067643988040977
PE,small microplastic,fiber,UV-aged,216,0.6159936893192826,0.7090865575871254,1.6583525664534717,1.6031721609118919,112.68749420220809,0.30883153460495616
PVC,submicron-to-small,sphere,oxidized,216,0.6261806233633876,0.6867827582953552,1.6470930635171646,1.694988011620192,109.15879884784259,0.3075948562764051
PS,small microplastic,fiber,UV-aged,216,0.6346407619170306,0.6981411489262597,1.7278874449824269,1.56232402765548,110.99381381916962,0.30641353992562054
PET,nano-scale,fiber,pristine,432,0.6134543576134717,0.6916994466355084,1.5917040633885913,1.5556090179628947,109.98795538999197,0.30589040988875854
PP,submicron-to-small,fragment,pristine,216,0.5775367179497904,0.6975580795879573,1.4724968708631365,1.62402665871816,110.8402623552427,0.3054026472159137
PE,nano-scale,sphere,pristine,432,0.569281538164977,0.69094177516369,1.4200091039397607,1.6979544047686088,109.76358910391612,0.3050204040893738
PS,submicron-to-small,fragment,pristine,216,0.597854911345818,0.6916035345224724,1.5512296356102826,1.59342047920356,109.94183722182528,0.30483041378063547
PVC,nano-scale,sphere,UV-aged,432,0.6257965823392424,0.6799488347301859,1.6223614471773524,1.6803899675928218,108.07756204040378,0.3047479596587783
