polymer,size_class,shape,aging,n_scenarios,baseline_mean_risk,mc_mean_risk,mc_sd_risk,mean_prob_severe,mean_prob_high_or_severe,mean_uncertainty_band,stable_classification_rate
PVC,larger microplastic,fragment,oxidized,216,0.4476179808312209,0.4477521259203266,0.015931132085058378,0.010570987654320987,0.30896604938271605,0.051786631861460215,0.8425925925925926
PET,nano-scale,fragment,pristine,432,0.44691960286999555,0.4469106622106153,0.01582059973172812,0.006929012345679012,0.30168209876543206,0.05149451729248735,0.8425925925925926
PET,submicron-to-small,sphere,UV-aged,216,0.4469067687634567,0.4468283555168466,0.015810059952617434,0.008410493827160494,0.3039969135802469,0.051492395399819556,0.8472222222222222
PP,larger microplastic,fragment,oxidized,216,0.4462896861137908,0.44623916796705776,0.0158457259865509,0.012546296296296297,0.30814814814814817,0.05162689807129821,0.8425925925925926
PS,larger microplastic,fragment,UV-aged,216,0.44612849291659135,0.4460740256657502,0.015818541431946383,0.010324074074074074,0.30595679012345683,0.051515570807581394,0.8379629629629629
PET,small microplastic,fragment,UV-aged,216,0.4460717020278714,0.4460275550787935,0.015847383819454445,0.009243827160493826,0.3043518518518518,0.05170674729112065,0.8287037037037037
PET,submicron-to-small,fiber,pristine,216,0.445607009520674,0.44557801606931263,0.01575532358998039,0.008780864197530864,0.30313271604938274,0.051250171079113734,0.8379629629629629
PE,small microplastic,sphere,oxidized,216,0.4451899160852706,0.44512652695431726,0.01585940813256943,0.013518518518518518,0.30723765432098765,0.05152348162505479,0.8425925925925926
PE,larger microplastic,fiber,UV-aged,216,0.4450620731855651,0.4451250480258171,0.015790524145477765,0.011882716049382715,0.3048148148148148,0.05147713135937577,0.8379629629629629
PVC,larger microplastic,fiber,UV-aged,216,0.4437243227754305,0.4437443651968773,0.015751198815919416,0.007438271604938272,0.29824074074074075,0.05136726348726372,0.8472222222222222
PVC,small microplastic,sphere,oxidized,216,0.4423524844462058,0.4423592737024837,0.015724593652703164,0.00882716049382716,0.2960030864197531,0.05118167972607344,0.8425925925925926
PP,larger microplastic,fiber,UV-aged,216,0.4421801288429482,0.44215877231380185,0.015769982457901205,0.00955246913580247,0.29603395061728394,0.05153354518920735,0.8425925925925926
PE,submicron-to-small,fragment,pristine,216,0.44223155985693474,0.4420602991527814,0.015632093541097253,0.011095679012345679,0.2978240740740741,0.05090049757912421,0.8379629629629629
PP,small microplastic,sphere,oxidized,216,0.44197522411605805,0.44198492466892025,0.015692203828286285,0.011820987654320988,0.2984259259259259,0.0512324475102848,0.8333333333333334
PS,small microplastic,sphere,UV-aged,216,0.44179991574570227,0.44174432243709594,0.01564506827759784,0.009398148148148149,0.29506172839506173,0.05119528970055915,0.8425925925925926
PET,larger microplastic,fragment,oxidized,216,0.4414251237066654,0.44135862163584094,0.015621694320519785,0.0065586419753086425,0.2922222222222222,0.05102976847726551,0.8333333333333334
